x,y,w_right,w_left
-0.7879,-1.5423,2.0000,2.0000
-0.7148,-1.4400,2.0000,2.0000
-0.6434,-1.3367,2.0000,2.0000
-0.5735,-1.2322,2.0000,2.0000
-0.5054,-1.1266,2.0000,2.0000
-0.4389,-1.0200,2.0000,2.0000
-0.3741,-0.9123,2.0000,2.0000
-0.3109,-0.8037,2.0000,2.0000
-0.2495,-0.6940,2.0000,2.0000
-0.1899,-0.5834,2.0000,2.0000
-0.1319,-0.4719,2.0000,2.0000
-0.0758,-0.3595,2.0000,2.0000
-0.0214,-0.2462,2.0000,2.0000
0.0312,-0.1321,2.0000,2.0000
0.0820,-0.0172,2.0000,2.0000
0.1310,0.0985,2.0000,2.0000
0.1782,0.2150,2.0000,2.0000
0.2236,0.3322,2.0000,2.0000
0.2670,0.4501,2.0000,2.0000
0.3087,0.5687,2.0000,2.0000
0.3485,0.6879,2.0000,2.0000
0.3863,0.8077,2.0000,2.0000
0.4223,0.9281,2.0000,2.0000
0.4565,1.0490,2.0000,2.0000
0.4887,1.1705,2.0000,2.0000
0.5190,1.2924,2.0000,2.0000
0.5473,1.4149,2.0000,2.0000
0.5738,1.5377,2.0000,2.0000
0.5983,1.6609,2.0000,2.0000
0.6209,1.7846,2.0000,2.0000
0.6415,1.9085,2.0000,2.0000
0.6602,2.0328,2.0000,2.0000
0.6769,2.1573,2.0000,2.0000
0.6917,2.2821,2.0000,2.0000
0.7045,2.4071,2.0000,2.0000
0.7153,2.5323,2.0000,2.0000
0.7242,2.6577,2.0000,2.0000
0.7311,2.7831,2.0000,2.0000
0.7361,2.9087,2.0000,2.0000
0.7390,3.0343,2.0000,2.0000
