x,y,w_right,w_left
8.2900,5.0400,0.8244,0.8244
8.2800,5.0400,0.8254,0.8254
8.2700,5.0400,0.8266,0.8266
8.2600,5.0400,0.8278,0.8278
8.2500,5.0400,0.8291,0.8291
8.2400,5.0400,0.8306,0.8306
8.2300,5.0400,0.8321,0.8321
8.2200,5.0400,0.8338,0.8338
8.2100,5.0400,0.8356,0.8356
8.2000,5.0400,0.8374,0.8374
8.1900,5.0300,0.8296,0.8296
8.1800,5.0300,0.8317,0.8317
8.1700,5.0300,0.8339,0.8339
8.1600,5.0300,0.8362,0.8362
8.1500,5.0300,0.8386,0.8386
8.1400,5.0300,0.8411,0.8411
8.1300,5.0300,0.8437,0.8437
8.1200,5.0300,0.8464,0.8464
8.1100,5.0300,0.8492,0.8492
8.1000,5.0300,0.8521,0.8521
8.0900,5.0300,0.8551,0.8551
8.0800,5.0300,0.8582,0.8582
8.0700,5.0200,0.8505,0.8505
8.0600,5.0200,0.8508,0.8508
8.0500,5.0200,0.8513,0.8513
8.0400,5.0200,0.8519,0.8519
8.0300,5.0200,0.8526,0.8526
8.0200,5.0200,0.8534,0.8534
8.0100,5.0100,0.8443,0.8443
8.0000,5.0100,0.8453,0.8453
7.9900,5.0100,0.8464,0.8464
7.9800,5.0100,0.8476,0.8476
7.9700,5.0100,0.8489,0.8489
7.9600,5.0100,0.8504,0.8504
7.9500,5.0100,0.8519,0.8519
7.9400,5.0100,0.8535,0.8535
7.9300,5.0100,0.8552,0.8552
7.9200,5.0100,0.8571,0.8571
7.9100,5.0000,0.8492,0.8492
7.9000,5.0000,0.8513,0.8513
7.8900,5.0000,0.8534,0.8534
7.8800,5.0000,0.8543,0.8543
7.8700,5.0000,0.8552,0.8552
7.8600,5.0000,0.8563,0.8563
7.8500,4.9900,0.8476,0.8476
7.8400,4.9900,0.8489,0.8489
7.8300,4.9900,0.8504,0.8504
7.8200,4.9900,0.8519,0.8519
7.8100,4.9900,0.8535,0.8535
7.8000,4.9900,0.8552,0.8552
7.7900,4.9800,0.8473,0.8473
7.7800,4.9800,0.8492,0.8492
7.7700,4.9800,0.8500,0.8500
7.7600,4.9800,0.8500,0.8500
7.7500,4.9800,0.8500,0.8500
7.7400,4.9800,0.8500,0.8500
7.7300,4.9700,0.8400,0.8400
7.7200,4.9700,0.8400,0.8400
7.7100,4.9700,0.8400,0.8400
7.7000,4.9700,0.8400,0.8400
7.6900,4.9700,0.8400,0.8400
7.6800,4.9700,0.8400,0.8400
7.6700,4.9700,0.8401,0.8401
7.6600,4.9600,0.8302,0.8302
7.6500,4.9600,0.8305,0.8305
