# x_m,y_m,w_tr_right_m,w_tr_left_m
-11.8000,4.0500,0.7945,0.7945
-11.8100,4.0500,0.7936,0.7936
-11.8200,4.0500,0.7927,0.7927
-11.8300,4.0500,0.7905,0.7905
-11.8400,4.0400,0.7982,0.7982
-11.8500,4.0400,0.7963,0.7963
-11.8600,4.0400,0.7944,0.7944
-11.8700,4.0400,0.7927,0.7927
-11.8800,4.0400,0.7911,0.7911
-11.8900,4.0400,0.7896,0.7896
-11.9000,4.0400,0.7881,0.7881
-11.9100,4.0300,0.7968,0.7968
-11.9200,4.0300,0.7956,0.7956
-11.9300,4.0300,0.7945,0.7945
-11.9400,4.0300,0.7927,0.7927
-11.9500,4.0300,0.7905,0.7905
-11.9600,4.0300,0.7884,0.7884
-11.9700,4.0300,0.7865,0.7865
-11.9800,4.0200,0.7944,0.7944
-11.9900,4.0200,0.7927,0.7927
-12.0000,4.0200,0.7911,0.7911
-12.0100,4.0200,0.7896,0.7896
-12.0200,4.0200,0.7881,0.7881
-12.0300,4.0200,0.7868,0.7868
-12.0400,4.0100,0.7956,0.7956
-12.0500,4.0100,0.7945,0.7945
-12.0600,4.0100,0.7936,0.7936
-12.0700,4.0100,0.7927,0.7927
-12.0800,4.0100,0.7920,0.7920
-12.0900,4.0100,0.7911,0.7911
-12.1000,4.0000,0.7994,0.7994
-12.1100,4.0000,0.7974,0.7974
-12.1200,4.0000,0.7950,0.7950
-12.1300,3.9900,0.8024,0.8024
-12.1400,3.9900,0.8003,0.8003
-12.1500,3.9900,0.7982,0.7982
-12.1600,3.9900,0.7963,0.7963
-12.1700,3.9800,0.8043,0.8043
-12.1800,3.9800,0.8026,0.8026
-12.1900,3.9800,0.8009,0.8009
-12.2000,3.9800,0.7994,0.7994
-12.2100,3.9800,0.7981,0.7981
-12.2200,3.9700,0.8067,0.8067
-12.2300,3.9700,0.8055,0.8055
-12.2400,3.9700,0.8045,0.8045
-12.2500,3.9700,0.8035,0.8035
-12.2600,3.9600,0.8127,0.8127
-12.2700,3.9600,0.8120,0.8120
-12.2800,3.9500,0.8214,0.8214
-12.2900,3.9500,0.8209,0.8209
-12.3000,3.9500,0.8205,0.8205
-12.3100,3.9500,0.8192,0.8192
-12.3200,3.9400,0.8278,0.8278
-12.3300,3.9400,0.8266,0.8266
-12.3400,3.9400,0.8254,0.8254
-12.3500,3.9300,0.8343,0.8343
-12.3600,3.9300,0.8334,0.8334
-12.3700,3.9200,0.8420,0.8420
-12.3800,3.9200,0.8405,0.8405
-12.3900,3.9200,0.8390,0.8390
-12.4000,3.9100,0.8476,0.8476
-12.4100,3.9100,0.8464,0.8464
-12.4200,3.9100,0.8453,0.8453
-12.4300,3.9000,0.8535,0.8535
-12.4400,3.8900,0.8618,0.8618
-12.4500,3.8900,0.8603,0.8603
-12.4600,3.8800,0.8688,0.8688
-12.4700,3.8800,0.8669,0.8669
-12.4800,3.8700,0.8749,0.8749
-12.4900,3.8700,0.8727,0.8727
-12.5000,3.8600,0.8798,0.8798
-12.5100,3.8500,0.8872,0.8872
-12.5200,3.8500,0.8849,0.8849
-12.5300,3.8400,0.8925,0.8925
-12.5400,3.8400,0.8904,0.8904
-12.5500,3.8300,0.8982,0.8982
-12.5600,3.8200,0.9062,0.9062
-12.5700,3.8200,0.9045,0.9045
-12.5800,3.8100,0.9127,0.9127
-12.5900,3.8000,0.9211,0.9211
-12.6000,3.7900,0.9296,0.9296
-12.6100,3.7900,0.9283,0.9283
-12.6200,3.7800,0.9370,0.9370
-12.6300,3.7700,0.9458,0.9458
-12.6400,3.7600,0.9548,0.9548
-12.6500,3.7500,0.9638,0.9638
-12.6600,3.7400,0.9730,0.9730
-12.6700,3.7300,0.9823,0.9823
-12.6800,3.7200,0.9917,0.9917
-12.6900,3.7100,1.0011,1.0011
-12.7000,3.7000,1.0086,1.0086
-12.7100,3.6900,1.0161,1.0161
-12.7200,3.6800,1.0238,1.0238
-12.7200,3.6700,1.0336,1.0336
-12.7300,3.6600,1.0414,1.0414
-12.7400,3.6500,1.0493,1.0493
-12.7500,3.6400,1.0526,1.0526
-12.7600,3.6300,1.0528,1.0528
-12.7600,3.6200,1.0459,1.0459
-12.7700,3.6100,1.0463,1.0463
-12.7800,3.6000,1.0469,1.0469
-12.7800,3.5900,1.0402,1.0402
-12.7900,3.5800,1.0411,1.0411
-12.8000,3.5700,1.0421,1.0421
-12.8000,3.5600,1.0357,1.0357
-12.8100,3.5500,1.0370,1.0370
-12.8100,3.5400,1.0307,1.0307
-12.8200,3.5300,1.0323,1.0323
-12.8200,3.5200,1.0261,1.0261
-12.8300,3.5100,1.0280,1.0280
-12.8300,3.5000,1.0220,1.0220
-12.8300,3.4900,1.0161,1.0161
-12.8400,3.4800,1.0183,1.0183
-12.8500,3.4700,1.0207,1.0207
-12.8500,3.4600,1.0150,1.0150
-12.8500,3.4500,1.0094,1.0094
-12.8600,3.4400,1.0122,1.0122
-12.8700,3.4300,1.0150,1.0150
-12.8700,3.4200,1.0094,1.0094
-12.8700,3.4100,1.0039,1.0039
-12.8700,3.4000,0.9984,0.9984
-12.8800,3.3900,1.0014,1.0014
-12.8800,3.3800,0.9960,0.9960
-12.8800,3.3700,0.9908,0.9908
-12.8900,3.3600,0.9942,0.9942
-12.8900,3.3500,0.9891,0.9891
-12.8900,3.3400,0.9841,0.9841
-12.9000,3.3300,0.9878,0.9878
-12.9000,3.3200,0.9830,0.9830
-12.9000,3.3100,0.9782,0.9782
-12.9000,3.3000,0.9735,0.9735
-12.9100,3.2900,0.9778,0.9778
-12.9100,3.2800,0.9733,0.9733
-12.9100,3.2700,0.9689,0.9689
-12.9200,3.2600,0.9735,0.9735
-12.9200,3.2500,0.9693,0.9693
-12.9200,3.2400,0.9651,0.9651
-12.9200,3.2300,0.9610,0.9610
-12.9300,3.2200,0.9662,0.9662
